其他名称,详情描述,地区,动画种类,原版名称,原作,制作公司,首播时间,播放状态,剧情类型,标签,官方网站
地味变!!～改变土妹子的纯洁异性交往～,"土妹子意外地…色色的。公司内首屈一指的土妹子，打扮后会变成超级美人！？面对如此可爱的她我一着急，就在爱情酒店前说出邀请的台词来…不过她好像也挺愿意的…！？土妹子愿意给我做任何事…而且还会说“我还要""等等…只有我知道的淫秽姿态…让我再看多点——",日本,TV,じみへんっ!!～地味子を変えちゃう純異性交遊～,暂无,studio HōKIBOSHI,2021-01-03,完结,其他,其他,https://jimihen.cf-anime.com/
Fate/Grand Carnival,1st Season,日本,OVA,Fate/Grand Carnival,TYPE-MOON,Lerche,2021-06-02,连载,搞笑 奇幻,搞笑 奇幻,https://anime.fate-go.jp/fgc/
Alice in deadly school,原创电视动画 「演剧偶像」公开剧中剧「Alice in Deadly School」PV，剧中剧特别版与该动画的第1话将于2021年1月4日作为新春特别节目放送，电视动画将从2021年1月5日起正式播出。,日本,OVA,アリスインデッドリースクール,暂无,Hoods Entertainment,2021-01-05,完结,校园 百合 猎奇,校园 百合 猎奇,http://gekidol.com/
魔术士欧菲流浪之旅 基姆拉克篇,最强魔术士，再临。,日本,TV,魔術士オーフェンはぐれ旅 キムラック編,秋田禎信,Studio DEEN,2021-01-20,完结,奇幻 冒险 战斗,奇幻 冒险 战斗,http://ssorphen-anime.com/
我家女友可不止可爱呢,电视动画《我家女友可不止可爱呢》改编自真木萤五作画的同名漫画作品，于2021年1月2日宣布动画化的消息。,日本,TV,可愛いだけじゃない式守さん,真木蛍五,動画工房,2022-04-09,连载,搞笑 校园 爱情,搞笑 校园 爱情,https://shikimori-anime.com/
无限滑板,《无限滑板》是由bones负责制作的原创电视动画，于2021年1月10日起播出。,日本,TV,SK∞ エスケーエイト,BONES / 内海紘子,BONES,2021-01-09,完结,运动 热血 女性向,运动 热血 女性向,https://sk8-project.com
奥特英雄传泽塔 英雄之路 日语版,重回过去，再现奇迹。 泽塔奥特曼是赛罗奥特曼的徒弟，拥有着和赛罗一样的热心肠，是一位非常积极向上的奥特英雄。而且，泽塔非常崇拜他的师父赛罗。赛罗虽然嘴上不承认这个徒弟，但其实心里还是很看好泽塔的。 赛罗和他的徒弟泽塔为了守卫家园，主动出击迎战敌人。一场激战过后，泽塔被迫与赛罗分开，独自一人追逐逃跑的怪兽。泽塔抵达地球的时候，遇到了正在战斗的遥辉。两人的相遇，拉开了故事的序幕。 迪迦奥特曼是超古代时期就出现在地球的巨人，但并非是地球出生的奥特曼，他原本是和三个黑暗巨人在一起的邪恶奥特曼，也是其中的领袖。后在超古代时期地球警备团的团长幽怜的劝说下弃暗投明， 他吸收了三个同伴的力量并封印了他们，最终成为光之巨人迪迦奥特曼。 三千万年后，迪迦奥特曼再度复活，在相继打败打败了佐加、邪神加坦杰厄、卡蜜拉等怪兽后正式功成身退。 本次由赛罗来给大家讲述这两位奥特战士的英雄事迹！,日本,WEB,奥特英雄传泽塔 英雄之路 日语版,暂无,暂无,2020-01-09,连载,科幻 特摄 战斗,科幻 特摄 战斗,暂无
即使如此依旧步步进逼,这是被爱塞满还是被爱塞满...？初级将军的田中爱梦（Ayumu Tanaka）想向导演矢部友植（Yaytome Urushi）坦白。故事是，尽管将棋力量还很遥远，但是根据正在快速进攻的脚步的姿势，Senpai可能会在另一种意义上被“塞满”。,日本,TV,それでも歩は寄せてくる,山本崇一朗,SILVER LINK.,2022-07,未播放,搞笑 校园 爱情,搞笑 校园 爱情,https://soreayu.com/
偶像活动Planet！,偶像活动Planet!是BN Pictures将于2021年1月放送的DATA CARDDASS”系统街机卡片游戏，本作是二次元和三次元的结合作品，是《偶像活动》系列的第五作。本作的角色形象与以往不同，发色转变为挑染色系，颇有现今流行的动漫风格。,日本,TV,アイカツプラネット!,BN Pictures,BN Pictures,2021-01-10,连载,校园 歌舞 百合,校园 歌舞 百合,http://www.aikatsu.net/
奇蛋物语,电视动画《奇蛋物语》是CloverWorks制作的原创作品，于2021年1月起播出。,日本,TV,ワンダーエッグ・プライオリティ,暂无,CloverWorks,2021-01-12,完结,奇幻 治愈,奇幻 治愈,https://wonder-egg-priority.com
世界魔女 起飞！,电视动画《世界魔女起飞！》是由Acca effe 戯画プロダクション负责制作，2021年放送予定。,日本,TV,ワールドウィッチーズ 発進しますっ！,島田フミカネ,Acca effe / 戯画プロダクション,2021-01-12,完结,搞笑 百合 科幻 奇幻,搞笑 百合 科幻 奇幻,http://w-witch.jp/ww_takeoff/
文豪野犬 汪！,电视动画《文豪野犬汪！》改编自朝雾カフカ原作，かないねこ作画的同名漫画作品，于2020年6月19号宣布动画化决定。由BONES及Nomad负责动画制作，2021年1月播出。,日本,TV,文豪ストレイドッグス わん！,朝霧カフカ,ノーマッド / BONES,2021-01-12,完结,搞笑 奇幻 泡面番,搞笑 奇幻 泡面番,https://bungo-stray-dogs-wan.com/
圣女魔力无所不能,《圣女的魔力是万能的》于2020年9月宣布动画化.,日本,TV,聖女の魔力は万能です,橘由華,diomedéa,2021-04-06,完结,奇幻 治愈 女性向,奇幻 治愈 女性向,https://seijyonomaryoku.jp/
水豚汤馆,热情的白羊座妹子水豚开了家泡澡的汤馆，为周围的小动物们提供放松的场所。她凭借热情周到的服务，和来泡汤的小动物们打成一片，解决它们的烦恼，帮助它们走出困境。十二星座小动物因泡汤而结缘，在水豚汤馆每天都上演着搞笑又温馨的故事。,中国,WEB,水豚汤馆,暂无,北京启缘映画,2021-01-06,连载,奇幻 治愈,奇幻 治愈,暂无
伊甸星原,电视动画《伊甸星原》改编自真岛浩著作的同名漫画作品，于2020年6月6日《周刊少年Magazine》29号表纸和卷头宣布了重大发表的决定，并于6月12日宣布了动画化的决定，由J.C.Staff负责动画制作，9月26日官方推特正式宣布动画将于2021年4月10日在日本电视台全国放送。,日本,TV,EDENS ZERO,真島ヒロ,J.C.STAFF,2021-04-10,完结,科幻 冒险,科幻 冒险,https://edens-zero.net/
武动乾坤 九重符塔,林动获得祖石力量重振林家之后，受岩大师的邀请，与妹妹青檀来到了炎城之中，殊不料他却因此被卷入了一场风波之中。血衣门门主魏通为了获得林动体内祖石而将青檀劫走，林动为救青檀不得不与万金商会会长萱素联手，与此同时血狼帮帮主岳山也在暗中蠢蠢欲动，一场腥风血雨即将在炎城之中展开。,中国,WEB,武动乾坤 九重符塔,天蚕土豆,暂无,2021-01-15,完结,玄幻 战斗,玄幻 战斗,暂无
希德尼娅的骑士 编织爱的行星,剧场版动画《希德尼娅的骑士：编织爱的行星》改编自弐瓶勉著漫画《希德尼娅的骑士》，2021年公映。,日本,剧场版,シドニアの騎士 あいつむぐほし,弐瓶勉,PPI,2021-06-04,完结,科幻 爱情 机战,科幻 爱情 机战,https://sidonia-anime.jp/
86-不存在的地域-,电视动画《86-不存在的地域-》改编自安里朝都原作、shirabii负责插画的同名轻小说作品，于2020年3月15日电击文库春祭上宣布制作决定。该片由A-1 Pictures负责制作，于2021年4月起播出。,日本,TV,86―エイティシックス―,安里アサト,A-1 Pictures,2021-04-10,完结,科幻 战斗,科幻 战斗,https://anime-86.com/
Vivy -Fluorite Eye's Song-,《Vivy -Fluorite Eye’s Song-》是Wit Studio制作的原创电视动画作品，于2021年4月播出。,日本,TV,Vivy -Fluorite Eye's Song-,長月達平 / 梅原英司,WIT STUDIO,2021-04-03,完结,科幻 战斗,科幻 战斗,https://vivy-portal.com/
白沙的水族馆,《白沙的aquatope》是由制作了《来自多彩世界的明天》的监督·筱原俊哉、系列构成·柿原优子、制作·P.A.WORKS，以冲绳县南城市一个小水族馆为舞台制作的完全新作原创动画。,日本,TV,白い砂のアクアトープ,projectティンガーラ,P.A.WORKS,2021-07-08,完结,百合 治愈,百合 治愈,https://aquatope-anime.com/
迷宫标记者,《SAKUGAN》是和田纯一执导和编剧的原创电视动画，于2018年8月17日在Project ANIMA的第一弹“科幻·机甲动画部门”中入选并发表动画化企划。该片由SATELIGHT负责制作，于2021年10月播出。,日本,TV,Sacks&Guns!!,戌井猫太郎,SATELIGHT,2021-10-07,连载,科幻 冒险 战斗,科幻 冒险 战斗,http://sakugan-anime.com/
魁拔之殊途,故事发生在灵山，这里聚集着一群地界“没有希望”的人们。他们大多数穷凶极恶，被社会抛弃在灵山占地为王，第四代魁拔迷麟诞生于此。天界苦苦找寻魁拔无果，为了消灭魁拔，决心将灵山轰为平地。迷麟从困境中崛起，他的精神也一步步唤醒了灵山众人有血有肉的灵魂。迷麟率领灵山军横扫地界各国，与天为敌，成为一代君临天 下的霸主。,中国,WEB,魁拔之殊途,暂无,暂无,2021-01-17,完结,奇幻 武侠 战斗,奇幻 武侠 战斗,暂无
不要欺负我，长瀞同学,电视动画《不要欺负我，长瀞同学》改编自NANASHI创作的同名漫画，由Telecom Animation Film负责动画制作，花井宏和担任导演，岸本卓担任编剧，铃木美咲负责角色设计，吟负责音，2021年4月起在东京首都电视台、BS11、每日放送播出。,日本,TV,イジらないで、長瀞さん,ナナシ,Telecom Animation Film,2021-04-10,完结,搞笑 校园 爱情,搞笑 校园 爱情,https://nagatorosan.jp/
侦探已经死了,作为高中三年级生的我·君冢君彦，曾经是一名名侦探的助手。「你，来当我的助手吧。」——一切开始于四年前、一万米的高空之上。在被劫持的飞机之中，我被宛若天使一般的侦探·希耶丝塔选定为了助手。在这之后——「听好了，在助手你被打成蜂窝的时候，我会乘机去解决掉敌人。」「喂，名侦探，不要以我死掉为前提制订计划啊。」我们开始了长达三年的跌宕起伏的冒险————然后，迎来了生死离别。一个人苟延残喘下来的我，沉浸在了安逸的日常之中。......你问这样好吗？这样就好，也不会给谁带去麻烦。,日本,TV,探偵はもう、死んでいる。,二語十,ENGI,2021-07-04,完结,冒险 悬疑,冒险 悬疑,https://tanmoshi-anime.jp/
终末的后宫,电视动画《终末的后宫》改编自LINK原作、宵野小太郎作画的同名漫画作品，于2020年5月12日宣布了动画化的消息，由Studio五组×AXsiZ负责制作，动画于2021年播出。,日本,TV,終末のハーレム,LINK / 宵野コタロー,Studio五組 / AXsiZ,2022-01-07,完结,科幻 后宫,科幻 后宫,https://end-harem-anime.com/
仙武帝尊,门派废徒叶辰，忍辱被宗门逐出，无以为家，机缘巧合，偶得远古真火，不料就此重踏仙武之路，再战帝尊之道！,中国,WEB,仙武帝尊,六界三道,暂无,2021-01,连载,玄幻 战斗,玄幻 战斗,暂无
长剑风云,环境恶化导致了自然灾变，原有的世界秩序陷入混乱。贺将年少时便跟随父亲贺长风在新萨科城开卡车谋生，东邦流民在优人恐怖组织的压迫下艰难生存，忍无可忍之下，她决定带领乔七、刘战等东邦人兄弟一起奋力反抗。,中国,WEB,长剑风云,暂无,虚拟印象工作室,2021-01-23,完结,热血 战斗,热血 战斗,暂无
IDOLLS,原创电视动画《IDOLLS!》是多媒体企划“IDOLLS PROJUECT”的一部分，2020年9月宣布动画化，由新锐动画负责动画制作，2021年1月播出。,日本,TV,アイドールズ！,暂无,SHIN-EI动画,2021-01-08,完结,偶像 歌舞,偶像 歌舞,https://wsy-idolls.com/
伍六七之玄武国篇,为了保护小鸡岛居民和这里平静的生活，伍六七和他的伙伴大保和小飞开启了去往玄武国的冒险旅程，去寻找身世的真相和解救小岛的办法，等待他们的又将是更多的未知与奇遇。,中国,WEB,伍六七之玄武国篇,暂无,小疯映画,2021-01-27,完结,搞笑 热血 战斗,搞笑 热血 战斗,暂无
流星幻剑,仙魔大战二十之后，三界达到了微妙平衡的状态。而正此时，身负重要秘密的少年叶不归脱离了剑灵仙岛的保护，出现在众人眼前。 他的出现打破了平衡，随着战争结束沉寂了二十年的阴谋重新浮现，少年在试图保护世界的同时，也知道了自己的身世。他的人生征途充满危险，有人来也有人走。不归二字，或许就是他的宿命。,中国,WEB,流星幻剑,东城白小生,暂无,2021-01-28,连载,玄幻 战斗,玄幻 战斗,暂无
星武神诀,千百年前，妖帝被人族强者所伤，灵魂逃逸，强行夺舍寄居于人族帝王的身上，从此之后，帝国战乱不断，忠臣离心。在这乱世之中，蓝鲤镇的叶氏家族，更是受尽欺凌苦难。叶氏宗族子弟叶星河身负所有族人的希望，开启了星武传承，无意中获知了蓝鲤镇里深藏的秘密，从此他的人生轨迹开始了改变。带领族人平战乱，助镇北王驱逐妖帝，重振朝纲，期间更是赢得了红颜知己的倾心。这是一段乱世的冒险，热血少年的侠义故事。,中国,WEB,星武神诀,发飚的蜗牛,暂无,2021-01-28,完结,玄幻 战斗,玄幻 战斗,暂无
斗罗大陆外传 神界传说(2021),距唐门一万年后，神界在以海神唐三为首的执法者治理下看似安静祥和，实则暗流涌动，毁灭一系邪神不满唐三统治已久，他们在密谋着一场叛乱，与此同时，海神唐三预言的万年大劫悄然而至……,中国,WEB,斗罗大陆外传 神界传说,唐家三少,暂无,2021-01,完结,玄幻 战斗,玄幻 战斗,暂无
